feature,importance
experience_level_encoded,0.3224774889590035
years_experience,0.31577738971810654
benefits_score,0.08444223945119265
remote_ratio,0.022746870389887253
python,0.012799301488880548
sql,0.012178392145313495
tensorflow,0.011757666387836062
scala,0.011662746216663373
pytorch,0.011146850117088746
git,0.010901394773638455
java,0.010845775137508135
tableau,0.01077962818159145
gcp,0.010766283890917813
computer vision,0.010556682638592559
data visualization,0.01053064998428757
hadoop,0.010507271172271664
spark,0.010489950543336788
deep learning,0.010425291308311869
kubernetes,0.010407187697930182
aws,0.010234077867857704
r,0.010172107208751746
linux,0.010110066629027428
azure,0.009994389655774497
nlp,0.00998989650806956
mlops,0.009964937859651544
docker,0.00970320961080082
mathematics,0.009550256727441597
statistics,0.009081997730266527
